minute,EDA(µS),grade
0,0.0002935625,87.5%
1,0.0001334374999999,
2,0.0001120875,
3,4.27e-05,
4,8.00625e-05,
5,0.0004003333333333,
6,0.000117425,
7,0.0004483708333333,
8,0.0001761375,
9,0.0008326916666666,
10,0.000138775,
11,0.0002188375,
12,0.0001868125,
13,0.000160125,
14,9.07375e-05,
15,3.73625e-05,
16,0.0003149125,
17,0.0285791083333333,
18,0.286057925,
19,0.1021153791666666,
20,0.0001014124999999,
21,3.73625e-05,
22,0.3803702833333333,
23,0.4217325958333333,
24,0.3043999041666667,
25,0.3878261583333333,
26,0.384078975,
27,0.3950697291666666,
28,0.5382646958333334,
29,0.6547433208333333,
30,0.8087581958333333,
31,0.8503459041666667,
32,0.9402729125,
33,0.9662210583333334,
34,1.1314669208333332,
35,1.0959537375,
36,0.9601839,
37,0.6693208458333333,
38,0.5741298166666666,
39,0.5094453666666666,
40,0.5455616,
41,0.5478088875,
42,0.4812076458333333,
43,0.4519185166666666,
44,0.4117827666666667,
45,0.3636400333333333,
46,0.325906325,
47,0.2894964958333333,
48,0.25773595,
49,0.2275820083333333,
50,0.2209523875,
51,0.1986239208333333,
52,0.2068069125,
53,0.2139970791666666,
54,0.1961577208333333,
55,0.176455475,
56,0.2014956625,
57,0.2362133791666666,
58,0.2218010458333333,
59,0.1958961625,
60,0.2039884333333333,
61,0.1809072875,
62,0.1737706,
63,0.2271123291666666,
64,0.2047144666666666,
65,0.1681069375,
66,0.1730178958333333,
67,0.1601694958333333,
68,0.1798824916666666,
69,0.1631640083333333,
70,0.1754893625,
71,0.1698739458333333,
72,0.1622352375,
73,0.1472089791666666,
74,0.123807625,
75,0.1412946416666666,
76,0.1724253583333333,
77,0.1730872666666666,
78,0.1695909125,
79,0.1795247708333333,
80,0.1761885125,
81,0.1795301291666667,
82,0.1959495333333333,
83,0.1776565,
84,0.1623153791666666,
85,0.1862612708333333,
86,0.1934140083333333,
87,0.1884230291666666,
88,0.18894095,
89,0.1952609208333333,
90,0.2315054,
91,0.22485435,
92,0.1990081166666666,
93,0.1851189166666666,
94,0.1843769166666666,
95,0.193317875,
96,0.1898056333333333,
97,0.1781636416666666,
98,0.19392645,
99,0.2001398166666666,
100,0.2263970083333333,
101,0.207922575,
102,0.1806083333333333,
103,0.2570153166666666,
104,0.2587074166666666,
105,0.26545985,
106,0.2398912666666666,
107,0.2266052083333333,
108,0.2683476833333333,
109,0.2400727708333333,
110,0.2493394,
111,0.2431260625,
112,0.2109224083333333,
113,0.2176268541666667,
114,0.2029955458333333,
115,0.1872648333333333,
116,0.174656475,
117,0.195741425,
118,0.2093476916666666,
119,0.1922717708333333,
120,0.1750835875,
121,0.17529715,
122,0.1696763625,
123,0.1986505375,
124,0.2032998125,
125,0.1906276041666666,
126,0.1927308541666667,
127,0.2198634249999999,
128,0.2195110791666666,
129,0.2317189083333333,
130,0.2167034041666666,
131,0.2394268166666666,
132,0.2702373375,
133,0.2487095208333333,
134,0.2422773041666666,
135,0.2302296541666666,
136,0.2539086708333333,
137,0.2418555958333333,
138,0.2233224124999999,
139,0.21154155,
140,0.203123725,
141,0.2123423166666666,
142,0.2113868541666666,
143,0.2179844625,
144,0.219697925,
145,0.2130416041666666,
146,0.1832132583333333,
147,0.2197086041666666,
148,0.2156303583333333,
149,0.2048798458333333,
150,0.2147229833333333,
151,0.2087176624999999,
152,0.1867949708333333,
153,0.1781422583333333,
154,0.2093744958333333,
155,0.2133672041666666,
156,0.2545972125,
157,0.2706430166666667,
158,0.2422880541666666,
159,0.2132763541666666,
160,0.1996753666666667,
161,0.1888928791666666,
162,0.1952130333333333,
163,0.2017731041666666,
164,0.2037963166666666,
165,0.2184916416666666,
166,0.1994992125,
167,0.1818094666666666,
168,0.1733487249999999,
169,0.2084135708333333,
170,0.2464249666666666,
171,0.2194897916666666,
172,0.2167621208333333,
173,0.1977110166666666,
174,0.1762365416666666,
175,0.1628864458333333,
176,0.1624274375,
177,0.1517834791666666,
178,0.1516715375,
179,0.1623686291666666,
180,0.2036628041666666,
181,0.1612691,
182,0.1804695833333333,
183,0.1781101625,
184,0.1810086666666666,
185,0.1755426166666666,
186,0.201554375,
187,0.219073425,
188,0.2339128416666666,
189,0.2607785083333333,
190,0.2424534833333333,
191,0.2400887291666666,
192,0.2362347291666666,
193,0.2209042666666666,
194,0.2255749791666666,
195,0.2460725791666666,
196,0.2638585083333333,
197,0.2979677583333334,
198,0.2661271291666666,
199,0.24236805,
200,0.225420225,
201,0.2124169625,
202,0.26516625,
203,0.347017825,
204,0.394119575,
205,0.3973329958333333,
206,0.3521582625,
207,0.4401369583333333,
208,0.33598585,
209,0.3465208999999999,
210,0.3496335458333333,
211,0.1190796916666666,
212,0.4512020958333333,
213,0.3665464916666667,
214,0.0006138333333333,
215,0.0014464875,
216,0.0008806875,
217,0.0024552541666666,
218,0.0019962416666666,
219,0.0029463625,
220,0.0029730041666666,
221,0.0025139958333333,
222,0.0029623583333333,
223,0.00284495,
224,0.0030851083333333,
225,0.0018948333333333,
226,0.0014784875,
227,0.0023111458333333,
228,0.0021403458333333,
229,0.0017507041666666,
230,0.0006832041666666,
231,0.0011689125,
232,0.00190015,
233,0.001313025,
234,0.0013503875,
235,0.001227625,
236,0.00049105,
237,0.0007419125,
238,0.0001014124999999,
239,0.0001227625,
