minute,TEMP(°C),grade
0,23.005333333333333,89.0%
1,22.950666666666667,
2,22.890333333333334,
3,22.839666666666663,
4,22.801,
5,22.752666666666663,
6,22.708666666666662,
7,22.673333333333336,
8,22.643666666666665,
9,22.611333333333334,
10,22.587666666666667,
11,22.576,
12,22.552000000000003,
13,22.538333333333338,
14,22.683,
15,22.928333333333335,
16,23.134333333333338,
17,23.64966666666667,
18,24.305333333333333,
19,24.88533333333333,
20,25.349,
21,25.71966666666667,
22,26.003333333333337,
23,26.23166666666667,
24,26.395333333333333,
25,26.522333333333332,
26,26.60033333333333,
27,26.645,
28,26.720666666666663,
29,26.824,
30,26.959666666666667,
31,27.07266666666667,
32,27.164333333333335,
33,27.237666666666662,
34,27.308,
35,27.352,
36,27.383333333333333,
37,27.411333333333335,
38,27.434,
39,27.454666666666665,
40,27.481999999999996,
41,27.504666666666665,
42,27.511000000000003,
43,27.508,
44,27.495,
45,27.471333333333337,
46,27.436333333333337,
47,27.439,
48,27.464999999999996,
49,27.500333333333337,
50,27.554666666666662,
51,27.599666666666668,
52,27.63266666666667,
53,27.658,
54,27.686,
55,27.728,
56,27.772333333333332,
57,27.799666666666667,
58,27.833,
59,27.857000000000003,
60,27.881666666666668,
61,27.908333333333335,
62,27.936666666666667,
63,27.971,
64,28.015666666666668,
65,28.054,
66,28.09733333333333,
67,28.130666666666663,
68,28.141666666666666,
69,28.120333333333335,
70,28.114666666666665,
71,28.180666666666664,
72,28.262333333333338,
73,28.320333333333338,
74,28.327666666666666,
75,28.314666666666664,
76,28.310666666666663,
77,28.301,
78,28.31,
79,28.31833333333333,
80,28.324,
81,28.324,
82,28.312333333333335,
83,28.303333333333335,
84,28.302999999999997,
85,28.312,
86,28.292333333333332,
87,28.278333333333332,
88,28.270666666666667,
89,28.264,
90,28.232333333333333,
91,28.175666666666665,
92,28.126,
93,28.12066666666667,
94,28.13633333333333,
95,28.169,
96,28.227333333333338,
97,28.26033333333333,
98,28.263,
99,28.251,
100,28.234333333333332,
101,28.228333333333335,
102,28.215333333333337,
103,28.184333333333335,
104,28.161,
105,28.156,
106,28.160333333333337,
107,28.176,
108,28.199666666666666,
109,28.208333333333332,
110,28.206333333333337,
111,28.197333333333336,
112,28.181,
113,28.16466666666667,
114,28.166,
115,28.172000000000004,
116,28.18066666666667,
117,28.182,
118,28.174666666666667,
119,28.142999999999997,
120,28.08833333333333,
121,28.056,
122,28.033666666666665,
123,28.00766666666667,
124,27.967,
125,27.919333333333334,
126,27.633333333333333,
127,27.241333333333333,
128,26.953,
129,26.774,
130,26.622666666666664,
131,26.529333333333337,
132,26.567333333333337,
133,26.708,
134,26.86466666666667,
135,26.934,
136,26.933333333333337,
137,26.850666666666665,
138,26.696,
139,26.53933333333333,
140,26.37366666666667,
141,26.16,
142,25.967666666666663,
143,25.784666666666663,
144,25.603666666666665,
145,25.448666666666668,
146,25.30366666666667,
147,25.167,
148,25.036,
149,24.915666666666667,
