minute,TEMP(°C),grade
0,21.65,74.5%
1,21.571,
2,21.663666666666664,
3,21.707,
4,21.727,
5,21.159666666666663,
6,20.813,
7,20.966666666666665,
8,20.596833333333333,
9,20.569000000000003,
10,20.591666666666665,
11,20.616333333333333,
12,26.639666666666667,
13,28.330333333333332,
14,28.618,
15,28.688333333333333,
16,28.810333333333332,
17,28.766,
18,28.902333333333335,
19,28.826,
20,28.814666666666664,
21,28.863666666666667,
22,28.896333333333335,
23,29.181333333333335,
24,29.086666666666662,
25,29.261333333333333,
26,28.993,
27,29.332,
28,29.22733333333333,
29,29.13266666666667,
30,29.081333333333337,
31,29.102,
32,29.381666666666668,
33,29.483333333333334,
34,29.748333333333335,
35,29.99233333333333,
36,30.322,
37,30.611,
38,30.657,
39,30.581,
40,30.599333333333337,
41,30.812333333333335,
42,30.874,
43,30.988999999999997,
44,31.19366666666667,
45,31.22666666666667,
46,31.230666666666664,
47,31.14033333333333,
48,31.168,
49,31.338,
50,31.44066666666667,
51,31.37066666666667,
52,31.362666666666662,
53,31.477333333333338,
54,31.536333333333335,
55,31.480666666666664,
56,31.482666666666667,
57,31.47,
58,31.267999999999997,
59,31.189333333333337,
60,31.19,
61,31.328666666666667,
62,31.498,
63,31.56,
64,31.665666666666667,
65,31.70566666666667,
66,31.89466666666667,
67,32.047999999999995,
68,31.915666666666667,
69,32.0965,
70,32.21783333333333,
71,31.976666666666667,
72,31.551333333333332,
73,31.342,
74,31.496333333333332,
75,31.449666666666666,
76,31.372000000000003,
77,31.447999999999997,
78,31.619333333333337,
79,31.822666666666667,
80,31.913,
81,32.056333333333335,
82,31.7815,
83,31.366333333333333,
84,31.478333333333335,
85,31.692666666666664,
86,31.849666666666668,
87,32.0615,
88,32.176,
89,32.233666666666664,
90,31.904333333333337,
91,31.886833333333335,
92,31.973666666666663,
93,32.01116666666666,
94,32.1045,
95,32.21483333333333,
96,32.23733333333333,
97,32.257333333333335,
98,32.257,
99,32.137,
100,32.19283333333333,
101,32.35633333333333,
102,32.175666666666665,
103,32.1265,
104,32.22116666666667,
105,32.35216666666666,
106,32.35066666666667,
107,32.172,
108,31.96916666666667,
109,31.996166666666667,
110,32.20783333333333,
111,32.369,
112,32.152166666666666,
113,32.065000000000005,
114,32.171,
115,32.132666666666665,
116,32.169666666666664,
117,32.266666666666666,
118,32.352833333333336,
119,32.30616666666666,
120,32.008833333333335,
121,31.95633333333333,
122,32.174166666666665,
123,32.094500000000004,
124,32.108666666666664,
125,32.10933333333333,
126,32.0495,
127,31.631333333333338,
128,31.470333333333333,
129,31.548333333333336,
130,31.413666666666664,
131,31.502333333333336,
132,31.528666666666663,
133,31.313333333333333,
134,31.189333333333337,
135,31.290000000000003,
136,31.433333333333337,
137,31.479333333333333,
138,31.647,
139,31.784333333333333,
140,31.906,
141,32.034666666666666,
142,31.83833333333333,
143,31.662666666666667,
144,31.581333333333337,
145,31.529,
146,31.700333333333333,
147,31.718,
148,31.81833333333333,
149,31.939666666666664,
150,32.04933333333334,
151,32.108333333333334,
152,32.05883333333333,
153,31.58566666666667,
154,31.257,
155,31.182666666666663,
156,31.175333333333334,
157,31.280666666666665,
158,31.098333333333336,
159,31.252333333333336,
160,30.945666666666668,
161,30.999666666666663,
162,31.139333333333333,
163,31.091666666666665,
164,31.072333333333333,
165,30.950333333333333,
166,30.97733333333333,
167,30.886333333333333,
168,30.875,
169,30.937333333333335,
170,30.71066666666667,
171,30.633,
172,30.631666666666668,
173,30.757,
174,30.862666666666662,
175,30.924333333333333,
176,30.675,
177,30.449,
178,30.376,
179,30.302666666666664,
180,30.336666666666662,
181,30.381333333333338,
182,30.170333333333335,
183,30.163333333333338,
184,30.225666666666665,
185,30.331666666666663,
186,30.288666666666664,
187,30.198333333333338,
188,30.160666666666668,
189,29.929666666666662,
190,29.962,
191,29.839666666666663,
192,29.735333333333337,
193,29.79866666666667,
194,30.00766666666667,
195,30.084666666666667,
196,30.125666666666667,
197,30.189666666666668,
198,29.94066666666667,
199,29.909666666666663,
200,29.881000000000004,
201,29.985,
202,29.871,
203,29.796333333333333,
204,29.679666666666662,
205,29.50766666666667,
206,29.49366666666667,
207,29.55933333333333,
208,27.228333333333335,
209,22.287666666666667,
210,21.118833333333335,
211,19.766666666666666,
212,18.636166666666668,
213,17.64333333333333,
214,17.308666666666667,
215,17.419500000000003,
216,17.235666666666667,
217,17.081166666666668,
218,17.0625,
219,16.866,
220,17.669666666666668,
221,17.451833333333333,
222,17.4415,
223,18.145166666666668,
224,19.326166666666666,
225,19.335833333333333,
226,19.69633333333333,
227,19.949333333333335,
228,20.295166666666667,
229,20.490666666666662,
230,20.628,
231,20.741666666666667,
232,20.85,
233,20.946,
234,21.032666666666668,
235,21.151999999999997,
236,21.26833333333333,
237,21.38,
238,21.471333333333337,
239,21.558333333333337,
