minute,ACC(g),grade
0,10.02444157922754,63.0%
1,9.983027809647409,
2,9.955833424298495,
3,9.994126990252754,
4,9.947024272052056,
5,10.06651986224883,
6,9.942951150956365,
7,10.029778817690495,
8,9.98370887431638,
9,10.0943595908822,
10,9.766992071501456,
11,9.765494847383671,
12,9.76486282487264,
13,9.76613117890548,
14,9.76555434253395,
15,9.765065248220171,
16,9.765785459160249,
17,9.765561030405514,
18,9.76567297268752,
19,9.765453557989394,
20,9.765389825652116,
21,9.76565701626119,
22,9.763941817438525,
23,9.76697354476256,
24,10.265321032075535,
25,10.41423189743603,
26,10.196362695535306,
27,10.163487760515046,
28,10.126060168614703,
29,10.136096282175204,
30,10.14300922279088,
31,10.160751203971328,
32,10.229393080433164,
33,10.164527719882878,
34,10.154819047041794,
35,10.147870845533324,
36,10.145050303081808,
37,10.16709580077966,
38,10.10551350903848,
39,10.06455205852471,
40,10.058201814443288,
41,10.148686566375948,
42,10.11497428092669,
43,10.11649877244812,
44,10.115194110895208,
45,10.062267136895011,
46,10.094575028048585,
47,10.051544365226556,
48,10.061908281048629,
49,10.069520690387176,
50,10.052483830119684,
51,10.072657837699914,
52,10.146907880974766,
53,10.13082321447974,
54,10.146287521534354,
55,10.090935661024757,
56,10.111866329466697,
57,10.076712005910473,
58,10.103494364942616,
59,10.06703226595586,
60,10.203291031147817,
61,10.155371284064223,
62,10.141545613016683,
63,10.135233255988055,
64,10.154283823016238,
65,10.115771335367905,
66,10.144695448543713,
67,10.093341749461532,
68,10.146706945165668,
69,10.018142667503868,
70,10.115597659365992,
71,10.063427485150571,
72,10.080484706976172,
73,10.105258260068329,
74,10.064442601201089,
75,10.068961806891936,
76,10.10337740572754,
77,10.117665829841608,
78,10.078073999336814,
79,10.144792990376471,
80,10.096592292311106,
81,10.100745665146627,
82,10.056639825538282,
83,10.083643733914531,
84,10.117999548730555,
85,10.094743776222836,
86,10.119200505514764,
87,10.10252326452214,
88,10.113663299436917,
89,10.13418640501448,
90,10.017995707446216,
91,9.996912737418254,
92,10.04093534845789,
93,10.123771703107488,
94,10.115989322267604,
95,10.075129854068592,
96,10.08726201924235,
97,10.07366064880574,
98,10.05465179076814,
99,10.091686002567869,
100,10.096367621317428,
101,10.13484498392334,
102,10.11892452613994,
103,10.192229694652385,
104,10.160151093579463,
105,10.12086524809431,
106,10.15790707047015,
107,10.109251733948993,
108,10.13165795213372,
109,10.157997006557263,
110,10.115593981081194,
111,10.119536728269969,
112,10.089291802563562,
113,10.127913430352956,
114,10.09047504256069,
115,10.0284947901029,
116,10.02312410728007,
117,10.028883251926556,
118,10.03470831698306,
119,10.137095454405635,
120,10.072392789576297,
121,9.9975430545578,
122,10.019865323660618,
123,10.037283476776969,
124,10.101679055617618,
125,10.067857017580438,
126,10.118376135712287,
127,10.13198796726462,
128,10.187263629143464,
129,10.13646345639128,
130,10.113487459929004,
131,10.13224018228616,
132,10.148561345079443,
133,10.096918606834786,
134,10.073581016527935,
135,10.106366510357107,
136,10.139302645257043,
137,10.002589902676146,
138,10.076900218516151,
139,10.084754832975507,
140,10.14153146054677,
141,10.132263446738582,
142,10.118850148346077,
143,10.150922504170785,
144,10.075097911833735,
145,10.172101600112605,
146,10.058287064099346,
147,10.091876330056298,
148,10.057528935165577,
149,10.028070555926,
150,10.014225461680734,
151,10.052572076613467,
152,10.024297164647182,
153,10.050289061899171,
154,10.081112145568015,
155,10.109436859390454,
156,10.04132555756985,
157,10.137812655358848,
158,10.066765696015398,
159,10.165639730393744,
160,10.07821888018534,
161,10.05376631580453,
162,10.114171405850623,
163,10.111014843895498,
164,10.29213268450511,
165,10.169667424307155,
166,10.202512434274512,
167,10.109914512696852,
168,10.079716775810832,
169,10.026602849378582,
170,10.043790838033395,
171,10.06212748789278,
172,10.01279249195014,
173,10.05931665219173,
174,10.071507876279751,
175,10.061267657211603,
176,10.039669905743628,
177,10.2299157260641,
178,10.21197328974423,
179,10.084068389038173,
180,10.118567150091929,
181,10.076906126559022,
182,10.04513567334686,
183,10.084401367248152,
184,9.94122759461276,
185,10.105252418770762,
186,10.060452711994754,
187,10.10491743988094,
188,10.136575885875803,
189,9.934662447256288,
190,10.004396878478689,
191,9.98873235070679,
192,10.065550865033703,
193,10.014933339932233,
194,10.200571848298171,
195,10.103288994981286,
196,10.033075739870032,
197,10.02948630484664,
198,9.92513807195795,
199,9.946548722979092,
200,10.117422489125888,
201,10.06456873309171,
202,9.951431441554783,
203,9.92422260961069,
204,10.128347451745126,
205,10.067966350710602,
206,10.555781334260132,
207,10.515819172480382,
208,10.178704687479105,
209,10.250027914338933,
210,9.958272887553964,
211,9.959229773272122,
212,9.691172030333677,
213,9.622874308201244,
214,9.64349253960573,
215,9.883523836659252,
216,9.829555821944645,
217,9.803356203403268,
218,9.895705830581132,
219,9.75796233047911,
220,9.773631864428028,
221,9.91099789453566,
222,9.801668748705396,
223,9.807241000697672,
224,9.8294067853719,
225,9.821510288312554,
226,9.715500212336549,
227,9.644394549565192,
228,9.705488253477252,
229,9.64723188324076,
230,9.606899878085066,
231,9.59848193037544,
232,9.595369043461984,
233,9.591949252204952,
234,9.61297207197013,
235,9.707445922048793,
